Date_reported,Continent,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Infection_fatility_rate(percentage)
1/3/2020,AFRICA,0,0,0,0,0.00
1/4/2020,AFRICA,0,0,0,0,0.00
1/5/2020,AFRICA,0,0,0,0,0.00
1/6/2020,AFRICA,0,0,0,0,0.00
1/7/2020,AFRICA,0,0,0,0,0.00
1/8/2020,AFRICA,0,0,0,0,0.00
1/9/2020,AFRICA,0,0,0,0,0.00
1/10/2020,AFRICA,0,0,0,0,0.00
1/11/2020,AFRICA,0,0,0,0,0.00
1/12/2020,AFRICA,0,0,0,0,0.00
1/13/2020,AFRICA,0,0,0,0,0.00
1/14/2020,AFRICA,0,0,0,0,0.00
1/15/2020,AFRICA,0,0,0,0,0.00
1/16/2020,AFRICA,0,0,0,0,0.00
1/17/2020,AFRICA,0,0,0,0,0.00
1/18/2020,AFRICA,0,0,0,0,0.00
1/19/2020,AFRICA,0,0,0,0,0.00
1/20/2020,AFRICA,0,0,0,0,0.00
1/21/2020,AFRICA,0,0,0,0,0.00
1/22/2020,AFRICA,0,0,0,0,0.00
1/23/2020,AFRICA,0,0,0,0,0.00
1/24/2020,AFRICA,0,0,0,0,0.00
1/25/2020,AFRICA,0,0,0,0,0.00
1/26/2020,AFRICA,0,0,0,0,0.00
1/27/2020,AFRICA,0,0,0,0,0.00
1/28/2020,AFRICA,0,0,0,0,0.00
1/29/2020,AFRICA,0,0,0,0,0.00
1/30/2020,AFRICA,0,0,0,0,0.00
1/31/2020,AFRICA,0,0,0,0,0.00
2/1/2020,AFRICA,0,0,0,0,0.00
2/2/2020,AFRICA,0,0,0,0,0.00
2/3/2020,AFRICA,0,0,0,0,0.00
2/4/2020,AFRICA,0,0,0,0,0.00
2/5/2020,AFRICA,0,0,0,0,0.00
2/6/2020,AFRICA,0,0,0,0,0.00
2/7/2020,AFRICA,0,0,0,0,0.00
2/8/2020,AFRICA,0,0,0,0,0.00
2/9/2020,AFRICA,0,0,0,0,0.00
2/10/2020,AFRICA,0,0,0,0,0.00
2/11/2020,AFRICA,0,0,0,0,0.00
2/12/2020,AFRICA,0,0,0,0,0.00
2/13/2020,AFRICA,0,0,0,0,0.00
2/14/2020,AFRICA,0,0,0,0,0.00
2/15/2020,AFRICA,0,0,0,0,0.00
2/16/2020,AFRICA,0,0,0,0,0.00
2/17/2020,AFRICA,0,0,0,0,0.00
2/18/2020,AFRICA,0,0,0,0,0.00
2/19/2020,AFRICA,0,0,0,0,0.00
2/20/2020,AFRICA,0,0,0,0,0.00
2/21/2020,AFRICA,0,0,0,0,0.00
2/22/2020,AFRICA,0,0,0,0,0.00
2/23/2020,AFRICA,0,0,0,0,0.00
2/24/2020,AFRICA,0,0,0,0,0.00
2/25/2020,AFRICA,0,0,0,0,0.00
2/26/2020,AFRICA,1,1,0,0,0.00
2/27/2020,AFRICA,0,1,0,0,0.00
2/28/2020,AFRICA,0,1,0,0,0.00
2/29/2020,AFRICA,1,2,0,0,0.00
3/1/2020,AFRICA,0,2,0,0,0.00
3/2/2020,AFRICA,1,3,0,0,0.00
3/3/2020,AFRICA,4,7,0,0,0.00
3/4/2020,AFRICA,4,11,0,0,0.00
3/5/2020,AFRICA,11,22,5,5,22.73
3/6/2020,AFRICA,2,24,0,5,20.83
3/7/2020,AFRICA,2,26,0,5,19.23
3/8/2020,AFRICA,3,29,0,5,17.24
3/9/2020,AFRICA,2,31,0,5,16.13
3/10/2020,AFRICA,9,40,0,5,12.50
3/11/2020,AFRICA,3,43,0,5,11.63
3/12/2020,AFRICA,13,56,0,5,8.93
3/13/2020,AFRICA,30,86,0,5,5.81
3/14/2020,AFRICA,36,122,0,5,4.10
3/15/2020,AFRICA,46,168,0,5,2.98
3/16/2020,AFRICA,48,216,0,5,2.31
3/17/2020,AFRICA,46,262,0,5,1.91
3/18/2020,AFRICA,68,330,0,5,1.52
3/19/2020,AFRICA,93,423,1,6,1.42
3/20/2020,AFRICA,122,545,0,6,1.10
3/21/2020,AFRICA,158,703,3,9,1.28
3/22/2020,AFRICA,180,883,3,12,1.36
3/23/2020,AFRICA,253,1136,4,16,1.41
3/24/2020,AFRICA,306,1442,1,17,1.18
3/25/2020,AFRICA,311,1753,5,22,1.25
3/26/2020,AFRICA,312,2065,1,23,1.11
3/27/2020,AFRICA,551,2616,6,29,1.11
3/28/2020,AFRICA,511,3127,11,40,1.28
3/29/2020,AFRICA,171,3298,30,70,2.12
3/30/2020,AFRICA,396,3694,4,74,2.00
3/31/2020,AFRICA,350,4044,163,237,5.86
4/1/2020,AFRICA,401,4445,74,311,7.00
4/2/2020,AFRICA,444,4889,23,334,6.83
4/3/2020,AFRICA,672,5561,31,365,6.56
4/4/2020,AFRICA,604,6165,30,395,6.41
4/5/2020,AFRICA,463,6628,32,427,6.44
4/6/2020,AFRICA,469,7097,29,456,6.43
4/7/2020,AFRICA,440,7537,23,479,6.36
4/8/2020,AFRICA,565,8102,26,505,6.23
4/9/2020,AFRICA,455,8557,19,524,6.12
4/10/2020,AFRICA,531,9088,32,556,6.12
4/11/2020,AFRICA,561,9649,37,593,6.15
4/12/2020,AFRICA,521,10170,50,643,6.32
4/13/2020,AFRICA,427,10597,33,676,6.38
4/14/2020,AFRICA,459,11056,33,709,6.41
4/15/2020,AFRICA,522,11578,228,937,8.09
4/16/2020,AFRICA,539,12117,22,959,7.91
4/17/2020,AFRICA,647,12764,34,993,7.78
4/18/2020,AFRICA,726,13490,33,1026,7.61
4/19/2020,AFRICA,774,14264,32,1058,7.42
4/20/2020,AFRICA,803,15067,20,1078,7.15
4/21/2020,AFRICA,855,15922,25,1103,6.93
4/22/2020,AFRICA,706,16628,14,1117,6.72
4/23/2020,AFRICA,1025,17653,27,1144,6.48
4/24/2020,AFRICA,864,18517,34,1178,6.36
4/25/2020,AFRICA,1027,19544,22,1200,6.14
