Date_reported,Continent,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Infection_fatility_rate(percentage)
1/3/2020,ASIA,0,0,0,0,0
1/4/2020,ASIA,1,1,0,0,0
1/5/2020,ASIA,0,1,0,0,0
1/6/2020,ASIA,3,4,0,0,0
1/7/2020,ASIA,0,4,0,0,0
1/8/2020,ASIA,0,4,0,0,0
1/9/2020,ASIA,0,4,0,0,0
1/10/2020,ASIA,0,4,0,0,0
1/11/2020,ASIA,0,4,0,0,0
1/12/2020,ASIA,41,45,1,1,2.22
1/13/2020,ASIA,1,46,0,1,2.17
1/14/2020,ASIA,5,51,0,1,1.96
1/15/2020,ASIA,0,51,0,1,1.96
1/16/2020,ASIA,0,51,0,1,1.96
1/17/2020,ASIA,1,52,1,2,3.85
1/18/2020,ASIA,4,56,0,2,3.57
1/19/2020,ASIA,77,133,1,3,2.26
1/20/2020,ASIA,77,210,1,4,1.9
1/21/2020,ASIA,93,303,2,6,1.98
1/22/2020,ASIA,148,451,11,17,3.77
1/23/2020,ASIA,130,581,1,18,3.1
1/24/2020,ASIA,271,852,8,26,3.05
1/25/2020,ASIA,468,1320,16,42,3.18
1/26/2020,ASIA,695,2015,14,56,2.78
1/27/2020,ASIA,790,2805,26,82,2.92
1/28/2020,ASIA,1773,4578,49,131,2.86
1/29/2020,ASIA,1477,6055,2,133,2.2
1/30/2020,ASIA,1752,7807,38,171,2.19
1/31/2020,ASIA,2008,9815,42,213,2.17
2/1/2020,ASIA,2105,11920,46,259,2.17
2/2/2020,ASIA,2602,14522,103,362,2.49
2/3/2020,ASIA,2835,17357,64,426,2.45
2/4/2020,ASIA,3245,20602,66,492,2.39
2/5/2020,ASIA,3921,24523,72,564,2.3
2/6/2020,ASIA,3724,28247,70,634,2.24
2/7/2020,ASIA,3199,31446,85,719,2.29
2/8/2020,ASIA,3398,34844,87,806,2.31
2/9/2020,ASIA,2667,37511,100,906,2.42
2/10/2020,ASIA,3055,40566,107,1013,2.5
2/11/2020,ASIA,2481,43047,100,1113,2.59
2/12/2020,ASIA,2070,45117,5,1118,2.48
2/13/2020,ASIA,15199,60316,253,1371,2.27
2/14/2020,ASIA,4065,64381,152,1523,2.37
2/15/2020,ASIA,2724,67105,142,1665,2.48
2/16/2020,ASIA,2104,69209,104,1769,2.56
2/17/2020,ASIA,2156,71365,98,1867,2.62
2/18/2020,ASIA,1996,73361,139,2006,2.73
2/19/2020,ASIA,1875,75236,113,2119,2.82
2/20/2020,ASIA,417,75653,125,2244,2.97
2/21/2020,ASIA,1000,76653,0,2244,2.93
2/22/2020,ASIA,1034,77687,207,2451,3.15
2/23/2020,ASIA,947,78634,2,2453,3.12
2/24/2020,ASIA,439,79073,155,2608,3.3
2/25/2020,ASIA,658,79731,72,2680,3.36
2/26/2020,ASIA,681,80412,56,2736,3.4
2/27/2020,ASIA,917,81329,32,2768,3.4
2/28/2020,ASIA,783,82112,46,2814,3.43
2/29/2020,ASIA,1365,83477,52,2866,3.43
3/1/2020,ASIA,1192,84669,38,2904,3.43
3/2/2020,ASIA,912,85581,49,2953,3.45
3/3/2020,ASIA,760,86341,38,2991,3.46
3/4/2020,ASIA,685,87026,41,3032,3.48
3/5/2020,ASIA,642,87668,35,3067,3.5
3/6/2020,ASIA,726,88394,36,3103,3.51
3/7/2020,ASIA,708,89102,31,3134,3.52
3/8/2020,ASIA,499,89601,36,3170,3.54
3/9/2020,ASIA,373,89974,28,3198,3.55
3/10/2020,ASIA,253,90227,19,3217,3.57
3/11/2020,ASIA,386,90613,34,3251,3.59
3/12/2020,ASIA,319,90932,19,3270,3.6
3/13/2020,ASIA,260,91192,17,3287,3.6
3/14/2020,ASIA,354,91546,29,3316,3.62
3/15/2020,ASIA,451,91997,17,3333,3.62
3/16/2020,ASIA,506,92503,21,3354,3.63
3/17/2020,ASIA,445,92948,24,3378,3.63
3/18/2020,ASIA,597,93545,34,3412,3.65
3/19/2020,ASIA,838,94383,23,3435,3.64
3/20/2020,ASIA,685,95068,23,3458,3.64
3/21/2020,ASIA,956,96024,26,3484,3.63
3/22/2020,ASIA,1082,97106,39,3523,3.63
3/23/2020,ASIA,1132,98238,21,3544,3.61
3/24/2020,ASIA,1296,99534,42,3586,3.6
3/25/2020,ASIA,1441,100975,21,3607,3.57
3/26/2020,ASIA,1185,102160,43,3650,3.57
3/27/2020,ASIA,1659,103819,43,3693,3.56
3/28/2020,ASIA,1568,105387,42,3735,3.54
3/29/2020,ASIA,1797,107184,53,3788,3.53
3/30/2020,ASIA,1645,108829,40,3828,3.52
3/31/2020,ASIA,1397,110226,53,3881,3.52
4/1/2020,ASIA,2236,112462,49,3930,3.49
4/2/2020,ASIA,1929,114391,55,3985,3.48
4/3/2020,ASIA,1779,116170,56,4041,3.48
4/4/2020,ASIA,2264,118434,77,4118,3.48
4/5/2020,ASIA,1799,120233,45,4163,3.46
4/6/2020,ASIA,2133,122366,76,4239,3.46
4/7/2020,ASIA,1805,124171,57,4296,3.46
4/8/2020,ASIA,2266,126437,85,4381,3.46
4/9/2020,ASIA,2283,128720,89,4470,3.47
4/10/2020,ASIA,2311,131031,98,4568,3.49
4/11/2020,ASIA,2779,133810,105,4673,3.49
4/12/2020,ASIA,3063,136873,128,4801,3.51
4/13/2020,ASIA,2650,139523,135,4936,3.54
4/14/2020,ASIA,3160,142683,135,5071,3.55
4/15/2020,ASIA,3037,145720,95,5166,3.55
4/16/2020,ASIA,3087,148807,115,5281,3.55
4/17/2020,ASIA,3411,152218,94,5375,3.53
4/18/2020,ASIA,3676,155894,1399,6774,4.35
4/19/2020,ASIA,3906,159800,103,6877,4.3
4/20/2020,ASIA,3623,163423,81,6958,4.26
4/21/2020,ASIA,4303,167726,120,7078,4.22
4/22/2020,ASIA,3842,171568,187,7265,4.23
4/23/2020,ASIA,3866,175434,87,7352,4.19
4/24/2020,ASIA,4593,180027,134,7486,4.16
4/25/2020,ASIA,3954,183981,135,7621,4.14
4/26/2020,ASIA,3963,187944,114,7735,4.12
4/27/2020,ASIA,3687,191631,92,7827,4.08
4/28/2020,ASIA,3876,195507,117,7944,4.06
4/29/2020,ASIA,3920,199427,132,8076,4.05
4/30/2020,ASIA,4100,203527,137,8213,4.04
5/1/2020,ASIA,4189,207716,118,8331,4.01
5/2/2020,ASIA,4784,212500,149,8480,3.99
5/3/2020,ASIA,4741,217241,159,8639,3.98
5/4/2020,ASIA,5030,222271,124,8763,3.94
5/5/2020,ASIA,6333,228604,235,8998,3.94
5/6/2020,ASIA,5209,233813,194,9192,3.93
5/7/2020,ASIA,5967,239780,171,9363,3.9
5/8/2020,ASIA,5845,245625,156,9519,3.88
5/9/2020,ASIA,5649,251274,174,9693,3.86
5/10/2020,ASIA,5738,257012,178,9871,3.84
5/11/2020,ASIA,6805,263817,149,10020,3.8
5/12/2020,ASIA,6139,269956,149,10169,3.77
5/13/2020,ASIA,6847,276803,215,10384,3.75
5/14/2020,ASIA,6481,283284,206,10590,3.74
5/15/2020,ASIA,6982,290266,190,10780,3.71
5/16/2020,ASIA,6735,297001,166,10946,3.69
5/17/2020,ASIA,7594,304595,227,11173,3.67
5/18/2020,ASIA,8422,313017,235,11408,3.64
5/19/2020,ASIA,7472,320489,192,11600,3.62
5/20/2020,ASIA,8774,329263,207,11807,3.59
5/21/2020,ASIA,9403,338666,203,12010,3.55
5/22/2020,ASIA,9385,348051,245,12255,3.52
5/23/2020,ASIA,10559,358610,209,12464,3.48
5/24/2020,ASIA,9879,368489,214,12678,3.44
5/25/2020,ASIA,10506,378995,213,12891,3.4
5/26/2020,ASIA,9270,388265,218,13109,3.38
5/27/2020,ASIA,9921,398186,272,13381,3.36
5/28/2020,ASIA,10631,408817,262,13643,3.34
5/29/2020,ASIA,11960,420777,247,13890,3.3
5/30/2020,ASIA,12576,433353,379,14269,3.29
5/31/2020,ASIA,13071,446424,289,14558,3.26
6/1/2020,ASIA,13138,459562,291,14849,3.23
6/2/2020,ASIA,13193,472755,272,15121,3.2
6/3/2020,ASIA,13619,486374,303,15424,3.17
6/4/2020,ASIA,14231,500605,330,15754,3.15
6/5/2020,ASIA,15217,515822,368,16122,3.13
6/6/2020,ASIA,14512,530334,374,16496,3.11
6/7/2020,ASIA,14849,545183,390,16886,3.1
6/8/2020,ASIA,14960,560143,355,17241,3.08
6/9/2020,ASIA,15617,575760,366,17607,3.06
6/10/2020,ASIA,15576,591336,358,17965,3.04
6/11/2020,ASIA,15738,607074,447,18412,3.03
6/12/2020,ASIA,17038,624112,503,18915,3.03
6/13/2020,ASIA,16850,640962,494,19409,3.03
6/14/2020,ASIA,17530,658492,413,19822,3.01
6/15/2020,ASIA,17250,675742,441,20263,3
6/16/2020,ASIA,16978,692720,479,20742,2.99
6/17/2020,ASIA,17301,710021,2103,22845,3.22
6/18/2020,ASIA,19612,729633,447,23292,3.19
6/19/2020,ASIA,19363,748996,423,23715,3.17
6/20/2020,ASIA,20352,769348,499,24214,3.15
6/21/2020,ASIA,21619,790967,404,24618,3.11
6/22/2020,ASIA,20867,811834,537,25155,3.1
6/23/2020,ASIA,21029,832863,402,25557,3.07
6/24/2020,ASIA,22634,855497,558,26115,3.05
6/25/2020,ASIA,23348,878845,531,26646,3.03
6/26/2020,ASIA,24112,902957,521,27167,3.01
6/27/2020,ASIA,25494,928451,470,27637,2.98
6/28/2020,ASIA,26671,955122,499,28136,2.95
6/29/2020,ASIA,26126,981248,486,28622,2.92
6/30/2020,ASIA,25309,1006557,566,29188,2.9
7/1/2020,ASIA,25910,1032467,619,29807,2.89
7/2/2020,ASIA,26859,1059326,531,30338,2.86
7/3/2020,ASIA,26912,1086238,477,30815,2.84
7/4/2020,ASIA,30031,1116269,536,31351,2.81
7/5/2020,ASIA,31651,1147920,761,32112,2.8
7/6/2020,ASIA,31839,1179759,551,32663,2.77
7/7/2020,ASIA,29473,1209232,599,33262,2.75
7/8/2020,ASIA,30488,1239720,587,33849,2.73
7/9/2020,ASIA,34189,1273909,594,34443,2.7
7/10/2020,ASIA,33662,1307571,570,35013,2.68
7/11/2020,ASIA,33809,1341380,661,35674,2.66
7/12/2020,ASIA,35395,1376775,684,36358,2.64
7/13/2020,ASIA,36330,1413105,751,37109,2.63
7/14/2020,ASIA,35048,1448153,707,37816,2.61
7/15/2020,ASIA,36233,1484386,713,38529,2.6
7/16/2020,ASIA,39622,1524008,742,39271,2.58
7/17/2020,ASIA,43185,1567193,856,40127,2.56
7/18/2020,ASIA,42803,1609996,787,40914,2.54
7/19/2020,ASIA,46531,1656527,825,41739,2.52
7/20/2020,ASIA,48687,1705214,890,42629,2.5
7/21/2020,ASIA,44681,1749895,720,43349,2.48
7/22/2020,ASIA,46029,1795924,841,44190,2.46
7/23/2020,ASIA,53811,1849735,1308,45498,2.46
7/24/2020,ASIA,57877,1907612,906,46404,2.43
7/25/2020,ASIA,57250,1964862,863,47267,2.41
7/26/2020,ASIA,56336,2021198,862,48129,2.38
7/27/2020,ASIA,58304,2079502,848,48977,2.36
7/28/2020,ASIA,56729,2136231,789,49766,2.33
7/29/2020,ASIA,57852,2194083,896,50662,2.31
7/30/2020,ASIA,60940,2255023,948,51610,2.29
7/31/2020,ASIA,66762,2321785,923,52533,2.26
8/1/2020,ASIA,68069,2389854,915,53448,2.24
8/2/2020,ASIA,64312,2454166,957,54405,2.22
8/3/2020,ASIA,64715,2518881,910,55315,2.2
8/4/2020,ASIA,61530,2580411,1004,56319,2.18
8/5/2020,ASIA,65857,2646268,990,57309,2.17
8/6/2020,ASIA,68014,2714282,1047,58356,2.15
8/7/2020,ASIA,74399,2788681,1043,59399,2.13
8/8/2020,ASIA,72773,2861454,1077,60476,2.11
8/9/2020,ASIA,75520,2936974,1027,61503,2.09
8/10/2020,ASIA,72209,3009183,1188,62691,2.08
8/11/2020,ASIA,67288,3076471,1022,63713,2.07
8/12/2020,ASIA,71167,3147638,1023,64736,2.06
8/13/2020,ASIA,78275,3225913,1175,65911,2.04
8/14/2020,ASIA,75945,3301858,1158,67069,2.03
8/15/2020,ASIA,78867,3380725,1124,68193,2.02
8/16/2020,ASIA,74634,3455359,1245,69438,2.01
8/17/2020,ASIA,68034,3523393,1143,70581,2
8/18/2020,ASIA,66209,3589602,1053,71634,2
8/19/2020,ASIA,76343,3665945,1244,72878,1.99
