Date_reported,Continent,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Infection_fatility_rate(percentage)
1/3/2020,EUROPE,0,0,0,0,0
1/4/2020,EUROPE,2,2,0,0,0
1/5/2020,EUROPE,-1,1,3,1,3.21
1/6/2020,EUROPE,0,1,0,1,3.21
1/7/2020,EUROPE,0,1,0,1,3.21
1/8/2020,EUROPE,1,2,0,3,3.21
1/9/2020,EUROPE,0,2,0,3,3.21
1/10/2020,EUROPE,0,2,0,3,3.21
1/11/2020,EUROPE,0,2,0,3,3.21
1/12/2020,EUROPE,0,2,0,3,3.21
1/13/2020,EUROPE,0,2,0,3,3.21
1/14/2020,EUROPE,0,2,0,3,3.21
1/15/2020,EUROPE,0,2,0,3,3.21
1/16/2020,EUROPE,0,2,0,3,3.21
1/17/2020,EUROPE,0,2,0,3,3.21
1/18/2020,EUROPE,0,2,0,3,3.21
1/19/2020,EUROPE,2,4,0,3,3.21
1/20/2020,EUROPE,0,4,0,3,3.21
1/21/2020,EUROPE,0,4,0,3,3.21
1/22/2020,EUROPE,0,4,0,3,3.21
1/23/2020,EUROPE,0,4,0,3,3.21
1/24/2020,EUROPE,0,4,0,3,3.21
1/25/2020,EUROPE,0,4,0,3,3.21
1/26/2020,EUROPE,5,9,3,6,13.1
1/27/2020,EUROPE,0,9,0,6,13.1
1/28/2020,EUROPE,0,9,0,6,13.1
1/29/2020,EUROPE,0,9,0,6,13.1
1/30/2020,EUROPE,1,10,0,6,13.1
1/31/2020,EUROPE,3,13,0,6,13.1
2/1/2020,EUROPE,3,16,1,7,13.1
2/2/2020,EUROPE,14,30,3,10,13.1
2/3/2020,EUROPE,0,30,0,10,13.1
2/4/2020,EUROPE,1,31,1,11,13.1
2/5/2020,EUROPE,20,51,0,11,13.1
2/6/2020,EUROPE,0,51,0,11,13.1
2/7/2020,EUROPE,1,52,0,11,13.1
2/8/2020,EUROPE,0,52,0,11,13.1
2/9/2020,EUROPE,32,84,0,11,13.1
2/10/2020,EUROPE,3,87,0,11,12.64
2/11/2020,EUROPE,1,88,0,11,12.5
2/12/2020,EUROPE,2,90,0,11,12.22
2/13/2020,EUROPE,13,103,0,11,10.68
2/14/2020,EUROPE,1,104,0,11,10.58
2/15/2020,EUROPE,1,105,0,11,10.48
2/16/2020,EUROPE,9,114,1,12,10.53
2/17/2020,EUROPE,0,114,0,12,10.53
2/18/2020,EUROPE,0,114,0,12,10.53
2/19/2020,EUROPE,1,115,0,12,10.43
2/20/2020,EUROPE,0,115,0,12,10.43
2/21/2020,EUROPE,0,115,0,12,10.43
2/22/2020,EUROPE,16,131,0,12,9.16
2/23/2020,EUROPE,83,214,3,15,7.01
2/24/2020,EUROPE,54,268,2,17,6.34
2/25/2020,EUROPE,105,373,4,21,5.63
2/26/2020,EUROPE,97,470,3,24,5.11
2/27/2020,EUROPE,99,569,2,26,4.57
2/28/2020,EUROPE,271,840,5,31,3.69
2/29/2020,EUROPE,288,1128,4,35,3.1
3/1/2020,EUROPE,590,1718,9,44,2.56
3/2/2020,EUROPE,603,2321,6,50,2.15
3/3/2020,EUROPE,449,2770,18,68,2.45
3/4/2020,EUROPE,620,3390,29,97,2.86
3/5/2020,EUROPE,835,4225,28,125,2.96
3/6/2020,EUROPE,1048,5273,44,169,3.21
3/7/2020,EUROPE,1133,6406,51,220,3.43
3/8/2020,EUROPE,4552,10958,79,299,2.73
3/9/2020,EUROPE,1926,12884,136,435,3.38
3/10/2020,EUROPE,2671,15555,102,537,3.45
3/11/2020,EUROPE,2162,17717,176,713,4.02
3/12/2020,EUROPE,3746,21463,210,923,4.3
3/13/2020,EUROPE,4635,26098,209,1132,4.34
3/14/2020,EUROPE,4582,30680,275,1407,4.59
3/15/2020,EUROPE,26169,56849,839,2246,3.95
3/16/2020,EUROPE,5276,62125,412,2658,4.28
3/17/2020,EUROPE,6039,68164,409,3067,4.5
3/18/2020,EUROPE,6582,74746,437,3504,4.69
3/19/2020,EUROPE,7949,82695,581,4085,4.94
3/20/2020,EUROPE,9271,91966,568,4653,5.06
3/21/2020,EUROPE,10910,102876,801,5454,5.3
3/22/2020,EUROPE,77566,180442,4939,10393,5.76
3/23/2020,EUROPE,9702,190144,896,11289,5.94
3/24/2020,EUROPE,10415,200559,905,12194,6.08
3/25/2020,EUROPE,13530,214089,1123,13317,6.22
3/26/2020,EUROPE,13809,227898,1153,14470,6.35
3/27/2020,EUROPE,15995,243893,1260,15730,6.45
3/28/2020,EUROPE,17994,261887,1620,17350,6.62
3/29/2020,EUROPE,129741,391628,11877,29227,7.46
3/30/2020,EUROPE,14645,406273,1591,30818,7.59
3/31/2020,EUROPE,14447,420720,1780,32598,7.75
4/1/2020,EUROPE,18617,439337,1982,34580,7.87
4/2/2020,EUROPE,18133,457470,2039,36619,8
4/3/2020,EUROPE,19735,477205,2288,38907,8.15
4/4/2020,EUROPE,19918,497123,2340,41247,8.3
4/5/2020,EUROPE,116043,613166,15261,56508,9.22
4/6/2020,EUROPE,17150,630316,2304,58812,9.33
4/7/2020,EUROPE,16597,646913,2484,61296,9.48
4/8/2020,EUROPE,20988,667901,2446,63742,9.54
4/9/2020,EUROPE,22476,690377,2598,66340,9.61
4/10/2020,EUROPE,21668,712045,2827,69167,9.71
4/11/2020,EUROPE,22694,734739,2614,71781,9.77
4/12/2020,EUROPE,97000,831739,14093,85874,10.32
4/13/2020,EUROPE,20703,852442,2512,88386,10.37
4/14/2020,EUROPE,18290,870732,2621,91007,10.45
4/15/2020,EUROPE,20114,890846,2585,93592,10.51
4/16/2020,EUROPE,21269,912115,2561,96153,10.54
4/17/2020,EUROPE,24994,937109,2584,98737,10.54
4/18/2020,EUROPE,24599,961708,2609,101346,10.54
4/19/2020,EUROPE,77438,1039146,11151,112497,10.83
4/20/2020,EUROPE,20951,1060097,2298,114795,10.83
4/21/2020,EUROPE,20681,1080778,2224,117019,10.83
4/22/2020,EUROPE,22344,1103122,2334,119353,10.82
4/23/2020,EUROPE,21543,1124665,2138,121491,10.8
4/24/2020,EUROPE,22506,1147171,2231,123722,10.78
4/25/2020,EUROPE,23403,1170574,2082,125804,10.75
4/26/2020,EUROPE,60529,1231103,8235,134039,10.89
4/27/2020,EUROPE,18730,1249833,1681,135720,10.86
4/28/2020,EUROPE,18945,1268778,1779,137499,10.84
4/29/2020,EUROPE,18987,1287765,1820,139319,10.82
4/30/2020,EUROPE,21849,1309614,1683,141002,10.77
5/1/2020,EUROPE,22436,1332050,1625,142627,10.71
5/2/2020,EUROPE,23116,1355166,1497,144124,10.64
5/3/2020,EUROPE,46544,1401710,5693,149817,10.69
5/4/2020,EUROPE,21138,1422848,1300,151117,10.62
5/5/2020,EUROPE,18747,1441595,1328,152445,10.57
