Date_reported,Continent,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Infection_fatility_rate(percentage)
1/3/2020,NORTHAMERICA,0,0,0,0,0
1/4/2020,NORTHAMERICA,1,1,0,0,0
1/5/2020,NORTHAMERICA,0,1,0,0,0
1/6/2020,NORTHAMERICA,3,4,0,0,0
1/7/2020,NORTHAMERICA,0,4,0,0,0
1/8/2020,NORTHAMERICA,0,4,0,0,0
1/9/2020,NORTHAMERICA,0,4,0,0,0
1/10/2020,NORTHAMERICA,0,4,0,0,0
1/11/2020,NORTHAMERICA,0,4,0,0,0
1/12/2020,NORTHAMERICA,41,45,1,1,2.22
1/13/2020,NORTHAMERICA,0,45,0,1,2.22
1/14/2020,NORTHAMERICA,1,46,0,1,2.17
1/15/2020,NORTHAMERICA,0,46,0,1,2.17
1/16/2020,NORTHAMERICA,0,46,0,1,2.17
1/17/2020,NORTHAMERICA,4,50,1,2,4
1/18/2020,NORTHAMERICA,0,50,0,2,4
1/19/2020,NORTHAMERICA,77,127,1,3,2.36
1/20/2020,NORTHAMERICA,78,205,1,4,1.95
1/21/2020,NORTHAMERICA,93,298,2,6,2.01
1/22/2020,NORTHAMERICA,147,445,11,17,3.82
1/23/2020,NORTHAMERICA,132,577,1,18,3.12
1/24/2020,NORTHAMERICA,263,840,8,26,3.1
1/25/2020,NORTHAMERICA,471,1311,16,42,3.2
1/26/2020,NORTHAMERICA,696,2007,14,56,2.79
1/27/2020,NORTHAMERICA,778,2785,26,82,2.94
1/28/2020,NORTHAMERICA,1777,4562,49,131,2.87
1/29/2020,NORTHAMERICA,1469,6031,2,133,2.21
1/30/2020,NORTHAMERICA,1749,7780,38,171,2.2
1/31/2020,NORTHAMERICA,1998,9778,42,213,2.18
2/1/2020,NORTHAMERICA,2107,11885,46,259,2.18
2/2/2020,NORTHAMERICA,2601,14486,103,362,2.5
2/3/2020,NORTHAMERICA,2834,17320,64,426,2.46
2/4/2020,NORTHAMERICA,3241,20561,66,492,2.39
2/5/2020,NORTHAMERICA,3912,24473,72,564,2.3
2/6/2020,NORTHAMERICA,3710,28183,70,634,2.25
2/7/2020,NORTHAMERICA,3150,31333,85,719,2.29
2/8/2020,NORTHAMERICA,3392,34725,87,806,2.32
2/9/2020,NORTHAMERICA,2664,37389,100,906,2.42
2/10/2020,NORTHAMERICA,2988,40377,107,1013,2.51
2/11/2020,NORTHAMERICA,2476,42853,100,1113,2.6
2/12/2020,NORTHAMERICA,2026,44879,5,1118,2.49
2/13/2020,NORTHAMERICA,15155,60034,253,1371,2.28
2/14/2020,NORTHAMERICA,4065,64099,152,1523,2.38
2/15/2020,NORTHAMERICA,2661,66760,142,1665,2.49
2/16/2020,NORTHAMERICA,2028,68788,104,1769,2.57
2/17/2020,NORTHAMERICA,2061,70849,98,1867,2.64
2/18/2020,NORTHAMERICA,1904,72753,139,2006,2.76
2/19/2020,NORTHAMERICA,1798,74551,113,2119,2.84
2/20/2020,NORTHAMERICA,422,74973,123,2242,2.99
2/21/2020,NORTHAMERICA,991,75964,0,2242,2.95
2/22/2020,NORTHAMERICA,1036,77000,207,2449,3.18
2/23/2020,NORTHAMERICA,895,77895,2,2451,3.15
2/24/2020,NORTHAMERICA,447,78342,154,2605,3.33
2/25/2020,NORTHAMERICA,661,79003,71,2676,3.39
2/26/2020,NORTHAMERICA,678,79681,56,2732,3.43
2/27/2020,NORTHAMERICA,919,80600,32,2764,3.43
2/28/2020,NORTHAMERICA,793,81393,45,2809,3.45
2/29/2020,NORTHAMERICA,1373,82766,52,2861,3.46
3/1/2020,NORTHAMERICA,1195,83961,37,2898,3.45
3/2/2020,NORTHAMERICA,928,84889,50,2948,3.47
3/3/2020,NORTHAMERICA,779,85668,38,2986,3.49
3/4/2020,NORTHAMERICA,711,86379,47,3033,3.51
3/5/2020,NORTHAMERICA,700,87079,39,3072,3.53
3/6/2020,NORTHAMERICA,821,87900,39,3111,3.54
3/7/2020,NORTHAMERICA,781,88681,34,3145,3.55
3/8/2020,NORTHAMERICA,633,89314,38,3183,3.56
