Date_reported,Continent,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Infection_fatility_rate(percentage)
1/3/2020,OCEANIA,0,0,0,0,0.00
1/4/2020,OCEANIA,3,3,0,0,0.00
1/5/2020,OCEANIA,-1,2,3,3,8.51
1/6/2020,OCEANIA,3,5,0,3,8.51
1/7/2020,OCEANIA,0,5,0,3,8.51
1/8/2020,OCEANIA,1,6,0,3,8.51
1/9/2020,OCEANIA,0,6,0,3,8.51
1/10/2020,OCEANIA,0,6,0,3,8.51
1/11/2020,OCEANIA,0,6,0,3,8.51
1/12/2020,OCEANIA,41,47,1,4,8.51
1/13/2020,OCEANIA,1,48,0,4,8.33
1/14/2020,OCEANIA,5,53,0,4,7.55
1/15/2020,OCEANIA,0,53,0,4,7.55
1/16/2020,OCEANIA,0,53,0,4,7.55
1/17/2020,OCEANIA,1,54,1,5,9.26
1/18/2020,OCEANIA,4,58,0,5,8.62
1/19/2020,OCEANIA,79,137,1,6,4.38
1/20/2020,OCEANIA,78,215,1,7,3.26
1/21/2020,OCEANIA,93,308,2,9,2.92
1/22/2020,OCEANIA,148,456,11,20,4.39
1/23/2020,OCEANIA,130,586,1,21,3.58
1/24/2020,OCEANIA,271,857,8,29,3.38
1/25/2020,OCEANIA,473,1330,16,45,3.38
1/26/2020,OCEANIA,702,2032,17,62,3.05
1/27/2020,OCEANIA,790,2822,26,88,3.12
1/28/2020,OCEANIA,1775,4597,49,137,2.98
1/29/2020,OCEANIA,1477,6074,2,139,2.29
1/30/2020,OCEANIA,1754,7828,38,177,2.26
1/31/2020,OCEANIA,2015,9843,42,219,2.22
2/1/2020,OCEANIA,2109,11952,47,266,2.23
2/2/2020,OCEANIA,2618,14570,106,372,2.55
2/3/2020,OCEANIA,2836,17406,64,436,2.50
2/4/2020,OCEANIA,3253,20659,67,503,2.43
2/5/2020,OCEANIA,3946,24605,72,575,2.34
2/6/2020,OCEANIA,3726,28331,70,645,2.28
2/7/2020,OCEANIA,3196,31527,85,730,2.32
2/8/2020,OCEANIA,3400,34927,87,817,2.34
2/9/2020,OCEANIA,2702,37629,100,917,2.44
2/10/2020,OCEANIA,3058,40687,107,1024,2.52
2/11/2020,OCEANIA,2482,43169,100,1124,2.60
