Date_reported,Continent,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Infection_fatility_rate(percentage)
1/3/2020,SOUTHAMERICA,0,0,0,0,0
1/4/2020,SOUTHAMERICA,3,3,0,0,0
1/5/2020,SOUTHAMERICA,-1,2,3,3,8.51
1/6/2020,SOUTHAMERICA,3,5,0,3,8.51
1/7/2020,SOUTHAMERICA,0,5,0,3,8.51
1/8/2020,SOUTHAMERICA,1,6,0,3,8.51
1/9/2020,SOUTHAMERICA,0,6,0,3,8.51
1/10/2020,SOUTHAMERICA,0,6,0,3,8.51
1/11/2020,SOUTHAMERICA,0,6,0,3,8.51
1/12/2020,SOUTHAMERICA,41,47,1,4,8.51
1/13/2020,SOUTHAMERICA,1,48,0,4,8.33
1/14/2020,SOUTHAMERICA,5,53,0,4,7.55
1/15/2020,SOUTHAMERICA,0,53,0,4,7.55
1/16/2020,SOUTHAMERICA,0,53,0,4,7.55
1/17/2020,SOUTHAMERICA,1,54,1,5,9.26
1/18/2020,SOUTHAMERICA,4,58,0,5,8.62
1/19/2020,SOUTHAMERICA,79,137,1,6,4.38
1/20/2020,SOUTHAMERICA,78,215,1,7,3.26
1/21/2020,SOUTHAMERICA,93,308,2,9,2.92
1/22/2020,SOUTHAMERICA,148,456,11,20,4.39
1/23/2020,SOUTHAMERICA,130,586,1,21,3.58
1/24/2020,SOUTHAMERICA,271,857,8,29,3.38
1/25/2020,SOUTHAMERICA,471,1328,16,45,3.39
1/26/2020,SOUTHAMERICA,702,2030,17,62,3.05
1/27/2020,SOUTHAMERICA,790,2820,26,88,3.12
1/28/2020,SOUTHAMERICA,1775,4595,49,137,2.98
1/29/2020,SOUTHAMERICA,1477,6072,2,139,2.29
1/30/2020,SOUTHAMERICA,1754,7826,38,177,2.26
1/31/2020,SOUTHAMERICA,2015,9841,42,219,2.23
2/1/2020,SOUTHAMERICA,2106,11947,47,266,2.23
2/2/2020,SOUTHAMERICA,2617,14564,106,372,2.55
2/3/2020,SOUTHAMERICA,2835,17399,64,436,2.51
2/4/2020,SOUTHAMERICA,3253,20652,67,503,2.44
2/5/2020,SOUTHAMERICA,3943,24595,72,575,2.34
2/6/2020,SOUTHAMERICA,3726,28321,70,645,2.28
2/7/2020,SOUTHAMERICA,3194,31515,85,730,2.32
2/8/2020,SOUTHAMERICA,3399,34914,87,817,2.34
2/9/2020,SOUTHAMERICA,2702,37616,100,917,2.44
2/10/2020,SOUTHAMERICA,3057,40673,107,1024,2.52
2/11/2020,SOUTHAMERICA,2482,43155,100,1124,2.6
2/12/2020,SOUTHAMERICA,2072,45227,5,1129,2.5
2/13/2020,SOUTHAMERICA,15212,60439,253,1382,2.29
2/14/2020,SOUTHAMERICA,4067,64506,152,1534,2.38
2/15/2020,SOUTHAMERICA,2726,67232,142,1676,2.49
2/16/2020,SOUTHAMERICA,2115,69347,105,1781,2.57
2/17/2020,SOUTHAMERICA,2158,71505,98,1879,2.63
2/18/2020,SOUTHAMERICA,1996,73501,139,2018,2.75
2/19/2020,SOUTHAMERICA,1878,75379,113,2131,2.83
2/20/2020,SOUTHAMERICA,422,75801,125,2256,2.98
2/21/2020,SOUTHAMERICA,1009,76810,2,2258,2.94
2/22/2020,SOUTHAMERICA,1067,77877,209,2467,3.17
2/23/2020,SOUTHAMERICA,1048,78925,6,2473,3.13
2/24/2020,SOUTHAMERICA,516,79441,160,2633,3.31
2/25/2020,SOUTHAMERICA,784,80225,80,2713,3.38
2/26/2020,SOUTHAMERICA,859,81084,62,2775,3.42
2/27/2020,SOUTHAMERICA,1093,82177,38,2813,3.42
2/28/2020,SOUTHAMERICA,1198,83375,58,2871,3.44
2/29/2020,SOUTHAMERICA,1816,85191,65,2936,3.45
3/1/2020,SOUTHAMERICA,2006,87197,56,2992,3.43
3/2/2020,SOUTHAMERICA,1937,89134,67,3059,3.43
3/3/2020,SOUTHAMERICA,1798,90932,68,3127,3.44
3/4/2020,SOUTHAMERICA,2216,93148,87,3214,3.45
3/5/2020,SOUTHAMERICA,2162,95310,82,3296,3.46
3/6/2020,SOUTHAMERICA,2487,97797,100,3396,3.47
3/7/2020,SOUTHAMERICA,3255,101052,102,3498,3.46
3/8/2020,SOUTHAMERICA,6348,107400,139,3637,3.39
3/9/2020,SOUTHAMERICA,3258,110658,222,3859,3.49
3/10/2020,SOUTHAMERICA,3857,114515,174,4033,3.52
3/11/2020,SOUTHAMERICA,3922,118437,269,4302,3.63
3/12/2020,SOUTHAMERICA,6004,124441,305,4607,3.7
3/13/2020,SOUTHAMERICA,6743,131184,320,4927,3.76
3/14/2020,SOUTHAMERICA,7312,138496,400,5327,3.85
3/15/2020,SOUTHAMERICA,29317,167813,964,6291,3.75
3/16/2020,SOUTHAMERICA,8561,176374,564,6855,3.89
3/17/2020,SOUTHAMERICA,10351,186725,587,7442,3.99
3/18/2020,SOUTHAMERICA,11527,198252,638,8080,4.08
3/19/2020,SOUTHAMERICA,14166,212418,792,8872,4.18
3/20/2020,SOUTHAMERICA,17031,229449,824,9696,4.23
3/21/2020,SOUTHAMERICA,20492,249941,1062,10758,4.3
3/22/2020,SOUTHAMERICA,89150,339091,5231,15989,4.72
3/23/2020,SOUTHAMERICA,22439,361530,1193,17182,4.75
3/24/2020,SOUTHAMERICA,26540,388070,1238,18420,4.75
3/25/2020,SOUTHAMERICA,30007,418077,1494,19914,4.76
3/26/2020,SOUTHAMERICA,31283,449360,1599,21513,4.79
3/27/2020,SOUTHAMERICA,37994,487354,1830,23343,4.79
3/28/2020,SOUTHAMERICA,44649,532003,2259,25602,4.81
3/29/2020,SOUTHAMERICA,158460,690463,12671,38273,5.54
3/30/2020,SOUTHAMERICA,43197,733660,2421,40694,5.55
3/31/2020,SOUTHAMERICA,48877,782537,2902,43596,5.57
4/1/2020,SOUTHAMERICA,43908,826445,3026,46622,5.64
4/2/2020,SOUTHAMERICA,52033,878478,3421,50043,5.7
4/3/2020,SOUTHAMERICA,58908,937386,3792,53835,5.74
4/4/2020,SOUTHAMERICA,60795,998181,4131,57966,5.81
4/5/2020,SOUTHAMERICA,158462,1156643,17151,75117,6.49
4/6/2020,SOUTHAMERICA,59794,1216437,4401,79518,6.54
4/7/2020,SOUTHAMERICA,54679,1271116,4878,84396,6.64
4/8/2020,SOUTHAMERICA,60415,1331531,4720,89116,6.69
4/9/2020,SOUTHAMERICA,63609,1395140,5290,94406,6.77
4/10/2020,SOUTHAMERICA,69657,1464797,5704,100110,6.83
4/11/2020,SOUTHAMERICA,72721,1537518,5608,105718,6.88
4/12/2020,SOUTHAMERICA,143455,1680973,17072,122790,7.3
4/13/2020,SOUTHAMERICA,64313,1745286,5503,128293,7.35
4/14/2020,SOUTHAMERICA,57668,1802954,5210,133503,7.4
